time;knee_angle_l
1.97;-32.22965625
1.971;-32.57323127
1.972;-32.91851222
1.973;-33.26544681
1.974;-33.6139802
1.975;-33.96405774
1.976;-34.31562498
1.977;-34.66862634
1.978;-35.02300394
1.979;-35.37869748
1.98;-35.735647
1.981;-36.09379282
1.982;-36.45307426
1.983;-36.81342853
1.984;-37.17479062
1.985;-37.53709592
1.986;-37.90028025
1.987;-38.26427855
1.988;-38.6290239
1.989;-38.9944474
1.99;-39.36048072
1.991;-39.72705608
1.992;-40.094105
1.993;-40.46155741
1.994;-40.82934158
1.995;-41.19738649
1.996;-41.56562174
1.997;-41.93397645
1.998;-42.30237849
1.999;-42.67075442
0.774;-42.99418608
0.775;-43.34465398
0.776;-43.69455351
0.777;-44.0438194
0.778;-44.39238582
0.779;-44.74018642
0.78;-45.08715584
0.781;-45.4332297
0.782;-45.77834379
0.783;-46.12243365
0.784;-46.46543465
0.785;-46.80728318
0.786;-47.1479166
0.787;-47.48727265
0.788;-47.8252891
0.789;-48.16190384
0.79;-48.49705579
0.791;-48.83068485
0.792;-49.16273144
0.793;-49.49313628
0.794;-49.82184051
0.795;-50.14878633
0.796;-50.47391691
0.797;-50.79717613
0.798;-51.11850848
0.799;-51.43785908
0.8;-51.75517415
0.801;-52.07040101
0.802;-52.38348784
0.803;-52.69438363
0.804;-53.00303824
0.805;-53.30940267
0.806;-53.61342903
0.807;-53.91507048
0.808;-54.21428102
0.809;-54.51101562
0.81;-54.80523089
0.811;-55.09688415
0.812;-55.38593198
0.813;-55.6723367
0.814;-55.95606651
0.815;-56.23707675
0.816;-56.51531911
0.817;-56.7907624
0.818;-57.06337831
0.819;-57.33313216
0.82;-57.59999101
0.821;-57.86392452
0.822;-58.12490305
0.823;-58.38289801
0.824;-58.63788215
0.825;-58.88982941
0.826;-59.13871484
0.827;-59.3845147
0.828;-59.62720644
0.829;-59.8667687
0.83;-60.10318131
0.831;-60.33642521
0.832;-60.56648252
0.833;-60.79333654
0.834;-61.01697176
0.835;-61.23737381
0.836;-61.45452946
0.837;-61.66842658
0.838;-61.8790542
0.839;-62.08640245
0.84;-62.29046254
0.841;-62.4912267
0.842;-62.68868823
0.843;-62.88284148
0.844;-63.07368181
0.845;-63.26120557
0.846;-63.44541007
0.847;-63.62629361
0.848;-63.80385542
0.849;-63.97809568
0.85;-64.14901547
0.851;-64.31661676
0.852;-64.4809024
0.853;-64.64187609
0.854;-64.79954237
0.855;-64.95390657
0.856;-65.10497477
0.857;-65.25275383
0.858;-65.39725129
0.859;-65.53847543
0.86;-65.67643516
0.861;-65.81114003
0.862;-65.94260021
0.863;-66.07082643
0.864;-66.19583003
0.865;-66.31762283
0.866;-66.43621717
0.867;-66.55162588
0.868;-66.6638622
0.869;-66.77293985
0.87;-66.87887291
0.871;-66.98167584
0.872;-67.08136342
0.873;-67.17795077
0.874;-67.27145327
0.875;-67.36188659
0.876;-67.44926659
0.877;-67.53360937
0.878;-67.61493116
0.879;-67.69324838
0.88;-67.76857756
0.881;-67.8409353
0.882;-67.91033829
0.883;-67.97680325
0.884;-68.04034689
0.885;-68.10098595
0.886;-68.15873709
0.887;-68.21361692
0.888;-68.26564198
0.889;-68.31482871
0.89;-68.36119345
0.891;-68.40475238
0.892;-68.44552152
0.893;-68.48351674
0.894;-68.51875369
0.895;-68.55124784
0.896;-68.58101439
0.897;-68.6080683
0.898;-68.63242426
0.899;-68.65409667
0.9;-68.67309961
0.901;-68.68944684
0.902;-68.70315173
0.903;-68.71422734
0.904;-68.72268634
0.905;-68.728541
0.906;-68.7318032
0.907;-68.7324844
0.908;-68.73059565
0.909;-68.72614759
0.91;-68.7191504
0.911;-68.7096138
0.912;-68.69754704
0.913;-68.6829589
0.914;-68.66585772
0.915;-68.64625127
0.916;-68.62414687
0.917;-68.59955128
0.918;-68.57247075
0.919;-68.54291101
0.92;-68.51087725
0.921;-68.47637412
0.922;-68.43940578
0.923;-68.39997587
0.924;-68.35808752
0.925;-68.31374336
0.926;-68.26694553
0.927;-68.21769569
0.928;-68.165995
0.929;-68.11184416
0.93;-68.0552434
0.931;-67.99619246
0.932;-67.93469065
0.933;-67.87073679
0.934;-67.8043293
0.935;-67.73546612
0.936;-67.66414476
0.937;-67.59036231
0.938;-67.51411546
0.939;-67.43540049
0.94;-67.35421332
0.941;-67.27054947
0.942;-67.18440409
0.943;-67.095772
0.944;-67.0046477
0.945;-66.91102536
0.946;-66.8148988
0.947;-66.71626157
0.948;-66.61510694
0.949;-66.51142788
0.95;-66.40521715
0.951;-66.29646718
0.952;-66.18517022
0.953;-66.07131827
0.954;-65.95490318
0.955;-65.83591658
0.956;-65.71434995
0.957;-65.59019463
0.958;-65.46344185
0.959;-65.33408275
0.96;-65.20210838
0.961;-65.06750975
0.962;-64.9302778
0.963;-64.79040348
0.964;-64.64787776
0.965;-64.50269163
0.966;-64.35483609
0.967;-64.20430223
0.968;-64.05108125
0.969;-63.89516443
0.97;-63.73654321
0.971;-63.57520916
0.972;-63.41115399
0.973;-63.24436966
0.974;-63.07484832
0.975;-62.90258237
0.976;-62.72756443
0.977;-62.54978742
0.978;-62.36924454
0.979;-62.18592935
0.98;-61.99983571
0.981;-61.81095786
0.982;-61.61929039
0.983;-61.4248283
0.984;-61.22756706
0.985;-61.02750254
0.986;-60.82463106
0.987;-60.6189494
0.988;-60.41045488
0.989;-60.19914531
0.99;-59.98501903
0.991;-59.76807488
0.992;-59.54831224
0.993;-59.3257311
0.994;-59.10033204
0.995;-58.87211622
0.996;-58.64108539
0.997;-58.40724192
0.998;-58.17058884
0.999;-57.93112985
1;-57.68886933
1.001;-57.44381228
1.002;-57.19596443
1.003;-56.9453322
1.004;-56.69192279
1.005;-56.43574406
1.006;-56.1768046
1.007;-55.91511372
1.008;-55.65068148
1.009;-55.38351874
1.01;-55.11363707
1.011;-54.84104878
1.012;-54.56576697
1.013;-54.28780552
1.014;-54.00717911
1.015;-53.72390321
1.016;-53.43799405
1.017;-53.14946869
1.018;-52.85834501
1.019;-52.56464172
1.02;-52.26837834
1.021;-51.9695752
1.022;-51.66825345
1.023;-51.36443509
1.024;-51.05814293
1.025;-50.74940061
1.026;-50.43823259
1.027;-50.12466414
1.028;-49.80872137
1.029;-49.49043124
1.03;-49.16982153
1.031;-48.84692083
1.032;-48.52175854
1.033;-48.19436494
1.034;-47.86477114
1.035;-47.53300906
1.036;-47.19911145
1.037;-46.86311185
1.038;-46.52504464
1.039;-46.18494502
1.04;-45.84284897
1.041;-45.49879323
1.042;-45.15281532
1.043;-44.80495353
1.044;-44.45524693
1.045;-44.10373534
1.046;-43.75045928
1.047;-43.39546001
1.048;-43.03877953
1.049;-42.68046056
1.05;-42.32054653
1.051;-41.95908152
1.052;-41.59611033
1.053;-41.23167841
1.054;-40.86583192
1.055;-40.49861761
1.056;-40.13008289
1.057;-39.76027571
1.058;-39.38924468
1.059;-39.01703902
1.06;-38.64370845
1.061;-38.26930327
1.062;-37.89387431
1.063;-37.51747296
1.064;-37.14015113
1.065;-36.76196121
1.066;-36.38295612
1.067;-36.00318924
1.068;-35.62271442
1.069;-35.24158598
1.07;-34.85985867
1.071;-34.47758764
1.072;-34.09482847
1.073;-33.7116371
1.074;-33.32806985
1.075;-32.94418339
1.076;-32.56003472
1.077;-32.17568114
1.078;-31.79118026
1.079;-31.40658997
1.08;-31.02196842
1.081;-30.63737399
1.082;-30.2528653
1.083;-29.8685012
1.084;-29.48434071
1.085;-29.10044298
1.086;-28.71686735
1.087;-28.33367327
1.088;-27.95092034
1.089;-27.56866826
1.09;-27.18697681
1.091;-26.80590579
1.092;-26.42551507
1.093;-26.04586455
1.094;-25.66701413
1.095;-25.28902371
1.096;-24.91195312
1.097;-24.53586215
1.098;-24.16081052
1.099;-23.78685788
1.1;-23.41406376
1.101;-23.04248755
1.102;-22.67218846
1.103;-22.30322558
1.104;-21.93565783
1.105;-21.56954389
1.106;-21.20494221
1.107;-20.84191102
1.108;-20.48050828
1.109;-20.1207917
1.11;-19.76281872
1.111;-19.40664651
